,Ia-3d,Ia-3d,Ia-3d,Ia-3d,Ia-3d
,Mult.,Letter,Site Sym.,WP Representative,Reflection conditions
0,"General:h,k,l permutable","General:h,k,l permutable","General:h,k,l permutable","General:h,k,l permutable","General:h,k,l permutable"
1,96,h,1,"(x,y,z)","hkl: h+k+l=2n 0kl: k,l=2n hhl: 2h+l=4n h00: h=4n"
2,"Special: as above, plus","Special: as above, plus","Special: as above, plus","Special: as above, plus","Special: as above, plus"
3,48,g,..2,"(1/8,y,-y+1/4)",hkl: h=2n+1 or h=4n
4,48,f,2..,"(x,0,1/4)",hkl: 2h+l=4n
5,32,e,.3.,"(x,x,x)",hkl: h=2n+1 or h+k+l=4n
6,24,d,-4..,"(3/8,0,1/4)","hkl: h,k=2n, h+k+l=4n or h,k=2n+1, l=4n+2 or h=8n,k=8n+4, h+k+l=4n+2"
7,24,c,2.2 2,"(1/8,0,1/4)","hkl: h,k=2n, h+k+l=4n or h,k=2n+1, l=4n+2 or h=8n,k=8n+4, h+k+l=4n+2"
8,16,b,.32,"(1/8,1/8,1/8)","hkl: h,k=2n+1, l=4n+2 or h,k,l=4n"
9,16,a,.-3.,"(0,0,0)","hkl: h,k=2n, h+k+l=4n"
