,2theta,multiplicity,indices,?
0,8.859301978849034,6.0,"[(1, 0, 0), (0, 1, 0), (0, 0, 1), (0, 0, -1), (0, -1, 0), (-1, 0, 0)]",10.0
1,12.541490027824013,12.0,"[(1, 1, 0), (1, 0, 1), (1, 0, -1), (1, -1, 0), (0, 1, 1), (0, 1, -1), (0, -1, 1), (0, -1, -1), (-1, 1, 0), (-1, 0, 1), (-1, 0, -1), (-1, -1, 0)]",7.071067811865474
2,15.37557363153954,8.0,"[(1, 1, 1), (1, 1, -1), (1, -1, 1), (1, -1, -1), (-1, 1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, -1)]",5.773502691896256
3,17.77211858772413,6.0,"[(2, 0, 0), (0, 2, 0), (0, 0, 2), (0, 0, -2), (0, -2, 0), (-2, 0, 0)]",5.0
4,19.889995348050387,24.0,"[(2, -1, 0), (1, 0, 2), (0, 1, 2), (0, -1, -2), (-1, 0, -2), (-2, 1, 0), (2, 1, 0), (2, 0, 1), (2, 0, -1), (1, 2, 0), (1, 0, -2), (1, -2, 0), (0, 2, 1), (0, 2, -1), (0, 1, -2), (0, -1, 2), (0, -2, 1), (0, -2, -1), (-1, 2, 0), (-1, 0, 2), (-1, -2, 0), (-2, 0, 1), (-2, 0, -1), (-2, -1, 0)]",4.47213595499958
5,21.810607528957615,24.0,"[(2, 1, 1), (2, 1, -1), (2, -1, 1), (2, -1, -1), (1, 2, 1), (1, 2, -1), (1, 1, 2), (1, 1, -2), (1, -1, 2), (1, -1, -2), (1, -2, 1), (1, -2, -1), (-1, 2, 1), (-1, 2, -1), (-1, 1, 2), (-1, 1, -2), (-1, -1, 2), (-1, -1, -2), (-1, -2, 1), (-1, -2, -1), (-2, 1, 1), (-2, 1, -1), (-2, -1, 1), (-2, -1, -1)]",4.0824829046386295
6,25.23643977381154,12.0,"[(2, 2, 0), (2, 0, 2), (2, 0, -2), (2, -2, 0), (0, 2, 2), (0, 2, -2), (0, -2, 2), (0, -2, -2), (-2, 2, 0), (-2, 0, 2), (-2, 0, -2), (-2, -2, 0)]",3.535533905932737
7,26.79494605842239,30.0,"[(3, 0, 0), (2, 2, 1), (2, 2, -1), (2, 1, 2), (2, 1, -2), (2, -1, 2), (2, -1, -2), (2, -2, 1), (2, -2, -1), (1, 2, 2), (1, 2, -2), (1, -2, 2), (1, -2, -2), (0, 3, 0), (0, 0, 3), (0, 0, -3), (0, -3, 0), (-1, 2, 2), (-1, 2, -2), (-1, -2, 2), (-1, -2, -2), (-2, 2, 1), (-2, 2, -1), (-2, 1, 2), (-2, 1, -2), (-2, -1, 2), (-2, -1, -2), (-2, -2, 1), (-2, -2, -1), (-3, 0, 0)]",3.333333333333333
8,28.273673627308117,24.0,"[(3, 0, 1), (3, 0, -1), (3, -1, 0), (1, 0, 3), (0, 3, 1), (0, 3, -1), (0, 1, 3), (0, -1, -3), (0, -3, 1), (0, -3, -1), (-1, 0, -3), (-3, 1, 0), (-3, 0, 1), (-3, 0, -1), (3, 1, 0), (1, 3, 0), (1, 0, -3), (1, -3, 0), (0, 1, -3), (0, -1, 3), (-1, 3, 0), (-1, 0, 3), (-1, -3, 0), (-3, -1, 0)]",3.162277660168379
9,29.684605523391628,24.0,"[(3, 1, 1), (3, 1, -1), (3, -1, 1), (3, -1, -1), (1, 3, 1), (1, 3, -1), (1, 1, 3), (1, 1, -3), (1, -1, 3), (1, -1, -3), (1, -3, 1), (1, -3, -1), (-1, 3, 1), (-1, 3, -1), (-1, 1, 3), (-1, 1, -3), (-1, -1, 3), (-1, -1, -3), (-1, -3, 1), (-1, -3, -1), (-3, 1, 1), (-3, 1, -1), (-3, -1, 1), (-3, -1, -1)]",3.015113445777636
10,31.03704559732445,8.0,"[(2, 2, 2), (2, 2, -2), (2, -2, 2), (2, -2, -2), (-2, 2, 2), (-2, 2, -2), (-2, -2, 2), (-2, -2, -2)]",2.886751345948128
11,32.3383885263341,24.0,"[(3, 2, 0), (3, 0, 2), (3, 0, -2), (3, -2, 0), (2, 3, 0), (2, 0, 3), (2, 0, -3), (2, -3, 0), (0, 3, 2), (0, 3, -2), (0, 2, 3), (0, 2, -3), (0, -2, 3), (0, -2, -3), (0, -3, 2), (0, -3, -2), (-2, 3, 0), (-2, 0, 3), (-2, 0, -3), (-2, -3, 0), (-3, 2, 0), (-3, 0, 2), (-3, 0, -2), (-3, -2, 0)]",2.7735009811261455
12,33.594626843928786,48.0,"[(3, 2, 1), (3, 2, -1), (3, 1, 2), (3, 1, -2), (3, -1, 2), (3, -1, -2), (3, -2, 1), (3, -2, -1), (2, 3, 1), (2, 3, -1), (2, 1, 3), (2, 1, -3), (2, -1, 3), (2, -1, -3), (2, -3, 1), (2, -3, -1), (1, 3, 2), (1, 3, -2), (1, 2, 3), (1, 2, -3), (1, -2, 3), (1, -2, -3), (1, -3, 2), (1, -3, -2), (-1, 3, 2), (-1, 3, -2), (-1, 2, 3), (-1, 2, -3), (-1, -2, 3), (-1, -2, -3), (-1, -3, 2), (-1, -3, -2), (-2, 3, 1), (-2, 3, -1), (-2, 1, 3), (-2, 1, -3), (-2, -1, 3), (-2, -1, -3), (-2, -3, 1), (-2, -3, -1), (-3, 2, 1), (-3, 2, -1), (-3, 1, 2), (-3, 1, -2), (-3, -1, 2), (-3, -1, -2), (-3, -2, 1), (-3, -2, -1)]",2.6726124191242437
13,35.99072317019831,6.0,"[(4, 0, 0), (0, 4, 0), (0, 0, 4), (0, 0, -4), (0, -4, 0), (-4, 0, 0)]",2.5
14,37.13819249874517,48.0,"[(3, -2, 2), (3, -2, -2), (2, 2, 3), (1, 4, 0), (1, 0, 4), (1, 0, -4), (1, -4, 0), (0, 1, 4), (0, 1, -4), (0, -1, 4), (0, -1, -4), (-1, 4, 0), (-1, 0, 4), (-1, 0, -4), (-1, -4, 0), (-2, -2, -3), (-3, 2, 2), (-3, 2, -2), (4, 1, 0), (4, 0, 1), (4, 0, -1), (4, -1, 0), (3, 2, 2), (3, 2, -2), (2, 3, 2), (2, 3, -2), (2, 2, -3), (2, -2, 3), (2, -2, -3), (2, -3, 2), (2, -3, -2), (0, 4, 1), (0, 4, -1), (0, -4, 1), (0, -4, -1), (-2, 3, 2), (-2, 3, -2), (-2, 2, 3), (-2, 2, -3), (-2, -2, 3), (-2, -3, 2), (-2, -3, -2), (-3, -2, 2), (-3, -2, -2), (-4, 1, 0), (-4, 0, 1), (-4, 0, -1), (-4, -1, 0)]",2.4253562503633295
15,38.25608543869975,36.0,"[(4, 1, 1), (4, 1, -1), (4, -1, 1), (4, -1, -1), (3, 3, 0), (3, 0, 3), (3, 0, -3), (3, -3, 0), (1, 4, 1), (1, 4, -1), (1, 1, 4), (1, 1, -4), (1, -1, 4), (1, -1, -4), (1, -4, 1), (1, -4, -1), (0, 3, 3), (0, 3, -3), (0, -3, 3), (0, -3, -3), (-1, 4, 1), (-1, 4, -1), (-1, 1, 4), (-1, 1, -4), (-1, -1, 4), (-1, -1, -4), (-1, -4, 1), (-1, -4, -1), (-3, 3, 0), (-3, 0, 3), (-3, 0, -3), (-3, -3, 0), (-4, 1, 1), (-4, 1, -1), (-4, -1, 1), (-4, -1, -1)]",2.357022603955158
16,39.34697312756281,24.0,"[(3, 3, 1), (3, 3, -1), (3, 1, 3), (3, 1, -3), (3, -1, 3), (3, -1, -3), (3, -3, 1), (3, -3, -1), (1, 3, 3), (1, 3, -3), (1, -3, 3), (1, -3, -3), (-1, 3, 3), (-1, 3, -3), (-1, -3, 3), (-1, -3, -3), (-3, 3, 1), (-3, 3, -1), (-3, 1, 3), (-3, 1, -3), (-3, -1, 3), (-3, -1, -3), (-3, -3, 1), (-3, -3, -1)]",2.294157338705617
17,40.41309219696064,24.0,"[(4, -2, 0), (2, 0, 4), (0, 2, 4), (0, -2, -4), (-2, 0, -4), (-4, 2, 0), (4, 2, 0), (4, 0, 2), (4, 0, -2), (2, 4, 0), (2, 0, -4), (2, -4, 0), (0, 4, 2), (0, 4, -2), (0, 2, -4), (0, -2, 4), (0, -4, 2), (0, -4, -2), (-2, 4, 0), (-2, 0, 4), (-2, -4, 0), (-4, 0, 2), (-4, 0, -2), (-4, -2, 0)]",2.23606797749979
18,41.45640286023563,48.0,"[(4, 2, 1), (4, 2, -1), (4, 1, 2), (4, 1, -2), (4, -1, 2), (4, -1, -2), (4, -2, 1), (4, -2, -1), (2, 4, 1), (2, 4, -1), (2, 1, 4), (2, 1, -4), (2, -1, 4), (2, -1, -4), (2, -4, 1), (2, -4, -1), (1, 4, 2), (1, 4, -2), (1, 2, 4), (1, 2, -4), (1, -2, 4), (1, -2, -4), (1, -4, 2), (1, -4, -2), (-1, 4, 2), (-1, 4, -2), (-1, 2, 4), (-1, 2, -4), (-1, -2, 4), (-1, -2, -4), (-1, -4, 2), (-1, -4, -2), (-2, 4, 1), (-2, 4, -1), (-2, 1, 4), (-2, 1, -4), (-2, -1, 4), (-2, -1, -4), (-2, -4, 1), (-2, -4, -1), (-4, 2, 1), (-4, 2, -1), (-4, 1, 2), (-4, 1, -2), (-4, -1, 2), (-4, -1, -2), (-4, -2, 1), (-4, -2, -1)]",2.1821789023599236
19,42.47863466105285,24.0,"[(3, -2, -3), (-3, 2, 3), (3, 3, 2), (3, 3, -2), (3, 2, 3), (3, 2, -3), (3, -2, 3), (3, -3, 2), (3, -3, -2), (2, 3, 3), (2, 3, -3), (2, -3, 3), (2, -3, -3), (-2, 3, 3), (-2, 3, -3), (-2, -3, 3), (-2, -3, -3), (-3, 3, 2), (-3, 3, -2), (-3, 2, -3), (-3, -2, 3), (-3, -2, -3), (-3, -3, 2), (-3, -3, -2)]",2.1320071635561044
20,44.46583823337517,24.0,"[(4, 2, 2), (4, 2, -2), (4, -2, 2), (4, -2, -2), (2, 4, 2), (2, 4, -2), (2, 2, 4), (2, 2, -4), (2, -2, 4), (2, -2, -4), (2, -4, 2), (2, -4, -2), (-2, 4, 2), (-2, 4, -2), (-2, 2, 4), (-2, 2, -4), (-2, -2, 4), (-2, -2, -4), (-2, -4, 2), (-2, -4, -2), (-4, 2, 2), (-4, 2, -2), (-4, -2, 2), (-4, -2, -2)]",2.0412414523193148
21,45.433410175382996,30.0,"[(5, 0, 0), (4, 3, 0), (4, 0, 3), (4, 0, -3), (4, -3, 0), (3, 4, 0), (3, 0, 4), (3, 0, -4), (3, -4, 0), (0, 5, 0), (0, 4, 3), (0, 4, -3), (0, 3, 4), (0, 3, -4), (0, 0, 5), (0, 0, -5), (0, -3, 4), (0, -3, -4), (0, -4, 3), (0, -4, -3), (0, -5, 0), (-3, 4, 0), (-3, 0, 4), (-3, 0, -4), (-3, -4, 0), (-4, 3, 0), (-4, 0, 3), (-4, 0, -3), (-4, -3, 0), (-5, 0, 0)]",2.0
22,46.38514716236457,72.0,"[(5, 1, 0), (5, 0, 1), (5, 0, -1), (5, -1, 0), (4, 3, 1), (4, 3, -1), (4, 1, 3), (4, 1, -3), (4, -1, 3), (4, -1, -3), (4, -3, 1), (4, -3, -1), (3, 4, 1), (3, 4, -1), (3, 1, 4), (3, 1, -4), (3, -1, 4), (3, -1, -4), (3, -4, 1), (3, -4, -1), (1, 5, 0), (1, 4, 3), (1, 4, -3), (1, 3, 4), (1, 3, -4), (1, 0, 5), (1, 0, -5), (1, -3, 4), (1, -3, -4), (1, -4, 3), (1, -4, -3), (1, -5, 0), (0, 5, 1), (0, 5, -1), (0, 1, 5), (0, 1, -5), (0, -1, 5), (0, -1, -5), (0, -5, 1), (0, -5, -1), (-1, 5, 0), (-1, 4, 3), (-1, 4, -3), (-1, 3, 4), (-1, 3, -4), (-1, 0, 5), (-1, 0, -5), (-1, -3, 4), (-1, -3, -4), (-1, -4, 3), (-1, -4, -3), (-1, -5, 0), (-3, 4, 1), (-3, 4, -1), (-3, 1, 4), (-3, 1, -4), (-3, -1, 4), (-3, -1, -4), (-3, -4, 1), (-3, -4, -1), (-4, 3, 1), (-4, 3, -1), (-4, 1, 3), (-4, 1, -3), (-4, -1, 3), (-4, -1, -3), (-4, -3, 1), (-4, -3, -1), (-5, 1, 0), (-5, 0, 1), (-5, 0, -1), (-5, -1, 0)]",1.9611613513818402
23,47.32205261272377,32.0,"[(5, 1, 1), (5, 1, -1), (5, -1, 1), (5, -1, -1), (3, 3, 3), (3, 3, -3), (3, -3, 3), (3, -3, -3), (1, 5, 1), (1, 5, -1), (1, 1, 5), (1, 1, -5), (1, -1, 5), (1, -1, -5), (1, -5, 1), (1, -5, -1), (-1, 5, 1), (-1, 5, -1), (-1, 1, 5), (-1, 1, -5), (-1, -1, 5), (-1, -1, -5), (-1, -5, 1), (-1, -5, -1), (-3, 3, 3), (-3, 3, -3), (-3, -3, 3), (-3, -3, -3), (-5, 1, 1), (-5, 1, -1), (-5, -1, 1), (-5, -1, -1)]",1.9245008972987523
24,49.15493698247827,72.0,"[(5, 0, 2), (5, 0, -2), (5, -2, 0), (2, 0, 5), (0, 5, 2), (0, 5, -2), (0, 2, 5), (0, -2, -5), (0, -5, 2), (0, -5, -2), (-2, 0, -5), (-5, 2, 0), (-5, 0, 2), (-5, 0, -2), (5, 2, 0), (4, 3, 2), (4, 3, -2), (4, 2, 3), (4, 2, -3), (4, -2, 3), (4, -2, -3), (4, -3, 2), (4, -3, -2), (3, 4, 2), (3, 4, -2), (3, 2, 4), (3, 2, -4), (3, -2, 4), (3, -2, -4), (3, -4, 2), (3, -4, -2), (2, 5, 0), (2, 4, 3), (2, 4, -3), (2, 3, 4), (2, 3, -4), (2, 0, -5), (2, -3, 4), (2, -3, -4), (2, -4, 3), (2, -4, -3), (2, -5, 0), (0, 2, -5), (0, -2, 5), (-2, 5, 0), (-2, 4, 3), (-2, 4, -3), (-2, 3, 4), (-2, 3, -4), (-2, 0, 5), (-2, -3, 4), (-2, -3, -4), (-2, -4, 3), (-2, -4, -3), (-2, -5, 0), (-3, 4, 2), (-3, 4, -2), (-3, 2, 4), (-3, 2, -4), (-3, -2, 4), (-3, -2, -4), (-3, -4, 2), (-3, -4, -2), (-4, 3, 2), (-4, 3, -2), (-4, 2, 3), (-4, 2, -3), (-4, -2, 3), (-4, -2, -3), (-4, -3, 2), (-4, -3, -2), (-5, -2, 0)]",1.8569533817705188
25,50.052509608186135,48.0,"[(5, 1, 2), (5, 1, -2), (5, -1, 2), (5, -1, -2), (5, -2, 1), (5, -2, -1), (2, 1, 5), (2, -1, 5), (2, -1, -5), (1, 5, 2), (1, 5, -2), (1, 2, 5), (1, -2, 5), (1, -2, -5), (1, -5, 2), (1, -5, -2), (-1, 5, 2), (-1, 5, -2), (-1, 2, 5), (-1, 2, -5), (-1, -2, -5), (-1, -5, 2), (-1, -5, -2), (-2, 1, 5), (-2, 1, -5), (-2, -1, -5), (-5, 2, 1), (-5, 2, -1), (-5, 1, 2), (-5, 1, -2), (-5, -1, 2), (-5, -1, -2), (5, 2, 1), (5, 2, -1), (2, 5, 1), (2, 5, -1), (2, 1, -5), (2, -5, 1), (2, -5, -1), (1, 2, -5), (-1, -2, 5), (-2, 5, 1), (-2, 5, -1), (-2, -1, 5), (-2, -5, 1), (-2, -5, -1), (-5, -2, 1), (-5, -2, -1)]",1.8257418583505538
26,51.81342050233426,12.0,"[(4, 4, 0), (4, 0, 4), (4, 0, -4), (4, -4, 0), (0, 4, 4), (0, 4, -4), (0, -4, 4), (0, -4, -4), (-4, 4, 0), (-4, 0, 4), (-4, 0, -4), (-4, -4, 0)]",1.7677669529663684
27,52.67799858252647,48.0,"[(5, 2, 2), (5, 2, -2), (5, -2, 2), (5, -2, -2), (4, -1, -4), (2, 5, 2), (2, 5, -2), (2, 2, 5), (2, 2, -5), (2, -2, 5), (2, -2, -5), (2, -5, 2), (2, -5, -2), (1, 4, 4), (1, 4, -4), (1, -4, 4), (1, -4, -4), (-1, 4, 4), (-1, 4, -4), (-1, -4, 4), (-1, -4, -4), (-2, 5, 2), (-2, 5, -2), (-2, 2, 5), (-2, 2, -5), (-2, -2, 5), (-2, -2, -5), (-2, -5, 2), (-2, -5, -2), (-4, 1, 4), (-5, 2, 2), (-5, 2, -2), (-5, -2, 2), (-5, -2, -2), (4, 4, 1), (4, 4, -1), (4, 1, 4), (4, 1, -4), (4, -1, 4), (4, -4, 1), (4, -4, -1), (-4, 4, 1), (-4, 4, -1), (-4, 1, -4), (-4, -1, 4), (-4, -1, -4), (-4, -4, 1), (-4, -4, -1)]",1.7407765595569784
28,53.53274174103871,48.0,"[(5, -3, 0), (3, 0, 5), (0, 3, 5), (0, -3, -5), (-3, 0, -5), (-5, 3, 0), (5, 3, 0), (5, 0, 3), (5, 0, -3), (4, 3, 3), (4, 3, -3), (4, -3, 3), (4, -3, -3), (3, 5, 0), (3, 4, 3), (3, 4, -3), (3, 3, 4), (3, 3, -4), (3, 0, -5), (3, -3, 4), (3, -3, -4), (3, -4, 3), (3, -4, -3), (3, -5, 0), (0, 5, 3), (0, 5, -3), (0, 3, -5), (0, -3, 5), (0, -5, 3), (0, -5, -3), (-3, 5, 0), (-3, 4, 3), (-3, 4, -3), (-3, 3, 4), (-3, 3, -4), (-3, 0, 5), (-3, -3, 4), (-3, -3, -4), (-3, -4, 3), (-3, -4, -3), (-3, -5, 0), (-4, 3, 3), (-4, 3, -3), (-4, -3, 3), (-4, -3, -3), (-5, 0, 3), (-5, 0, -3), (-5, -3, 0)]",1.7149858514250886
29,54.37816220497613,48.0,"[(5, 1, 3), (5, 1, -3), (5, -1, 3), (5, -1, -3), (5, -3, 1), (5, -3, -1), (3, 5, 1), (3, 5, -1), (3, 1, 5), (3, -1, 5), (3, -5, 1), (3, -5, -1), (1, 5, 3), (1, 5, -3), (1, 3, 5), (1, -3, -5), (1, -5, 3), (1, -5, -3), (-1, 5, 3), (-1, 5, -3), (-1, 3, 5), (-1, -3, -5), (-1, -5, 3), (-1, -5, -3), (-3, 5, 1), (-3, 5, -1), (-3, 1, -5), (-3, -1, -5), (-3, -5, 1), (-3, -5, -1), (-5, 3, 1), (-5, 3, -1), (-5, 1, 3), (-5, 1, -3), (-5, -1, 3), (-5, -1, -3), (5, 3, 1), (5, 3, -1), (3, 1, -5), (3, -1, -5), (1, 3, -5), (1, -3, 5), (-1, 3, -5), (-1, -3, 5), (-3, 1, 5), (-3, -1, 5), (-5, -3, 1), (-5, -3, -1)]",1.6903085094570331
